magic_flask_with_material,Magic Flask ($0),,,,,,,,,,,,,
magic_flask,Magic Flask,,,,,,,,,,,,,
magic_flask_desc,A flask created by magic. It cannot be refilled. ,,,,,,,,,,,,,
small_pouch_with_material,Pouchette ($0),,,,,,,,,,,,,
small_pouch,Pouchette,,,,,,,,,,,,,
small_pouch_desc,A small pouchette for carrying materials,,,,,,,,,,,,,
wonder_any,Wonderous Item,,,,,,,,,,,,,
wonder_desc,A wonderous item with mystical properties,,,,,,,,,,,,,
wonder_boots,Boots of Striding,,,,,,,,,,,,,
wonder_equip,Press $0 to equip '$1',,,,,,,,,,,,,
